Year,FIPS,Crop,observed_difference_kgHa,detrended_difference_kgHa
1991,20197,Corn,2523.2628329703566,4726.410231907158
1992,20197,Corn,878.748250288183,2912.422772383692
1993,20197,Corn,508.41863052387816,1500.1487987062583
1994,20197,Corn,1029.390807480444,2498.1557401049795
1995,20197,Corn,1682.1752219802383,3295.305938580689
1996,20197,Corn,3602.867826181554,6094.746793070186
1997,20197,Corn,3389.457536825852,5642.819121493409
1998,20197,Corn,1889.3087381195955,3653.0820119123055
1999,20197,Corn,3000.297597412513,4820.561830152323
2000,20197,Corn,3194.8775671191815,4983.757933777272
2001,20197,Corn,2837.1014937875652,4356.080612142854
2002,20197,Corn,5824.845544767391,7770.645241834083
2003,20197,Corn,4895.883108748451,6728.700887920951
2004,20197,Corn,2378.8970489944386,3841.385208402633
2005,20197,Corn,3527.5465475854235,4964.927614128242
2006,20197,Corn,5052.802439157057,6552.951237863313
2007,20197,Corn,1945.7996970666927,2912.422772383692
2008,20197,Corn,3000.297597412513,4142.670322787153
2009,20197,Corn,2341.2364096963756,3276.4756189316595
2010,20197,Corn,2247.0848114512137,2943.8066384654157
2011,20197,Corn,6314.433855642237,7381.485302420746
2012,20197,Corn,6672.2099289738535,7701.600736454298
2013,20197,Corn,3251.368526066278,3960.643899513172
2014,20197,Corn,4952.3740676955495,5730.693946522225
2015,20197,Corn,1462.4881594081926,1876.7551916869052
2016,20197,Corn,2975.1905045471385,3414.56462969123
2017,20197,Corn,2962.6369581144463,3358.073670744132
2018,20197,Corn,7858.520066862901,8360.661924170436
2019,20197,Corn,3634.251692263275,3904.152940566075
2020,20197,Corn,3452.225268989292,3665.635558344993
2021,20197,Corn,3753.5103833738103,3897.87616734973
1990,20209,Corn,0,0
1991,20209,Corn,0,0
1992,20209,Corn,0,0
1993,20209,Corn,0,0
1994,20209,Corn,0,0
1995,20209,Corn,0,0
1996,20209,Corn,0,0
1997,20209,Corn,0,0
1998,20209,Corn,0,0
1999,20209,Corn,0,0
2000,20209,Corn,0,0
2001,20209,Corn,0,0
2002,20209,Corn,0,0
2003,20209,Corn,0,0
2004,20209,Corn,0,0
2005,20209,Corn,0,0
2006,20209,Corn,0,0
2007,20209,Corn,0,0
2008,20209,Corn,0,0
2009,20209,Corn,0,0
2010,20209,Corn,0,0
2011,20209,Corn,0,0
2012,20209,Corn,0,0
2013,20209,Corn,0,0
2014,20209,Corn,0,0
2015,20209,Corn,0,0
2016,20209,Corn,0,0
2017,20209,Corn,0,0
2018,20209,Corn,0,0
2019,20209,Corn,0,0
2020,20209,Corn,0,0
2021,20209,Corn,0,0
1990,20005,Soybeans,954.9637044177789,874.2625462979668
1991,20005,Soybeans,1492.971425216528,1889.7521193056068
1992,20005,Soybeans,766.6610021382176,544.7328173087344
1993,20005,Soybeans,-255.55366737940585,-854.0872567680144
1994,20005,Soybeans,847.3621602580292,645.6092649584989
1995,20005,Soybeans,564.9081068386868,390.0555975790935
1996,20005,Soybeans,87.42625462979731,-410.23088710904585
1997,20005,Soybeans,1109.6409241474198,1170.1667927372787
1998,20005,Soybeans,497.6571417388427,289.1791499293272
1999,20005,Soybeans,894.4378358279196,934.7884148878265
2000,20005,Soybeans,907.8880288478895,981.8640904577164
2001,20005,Soybeans,416.9559836190306,208.47799180951506
2002,20005,Soybeans,1163.4416962272942,1331.5691089769039
2003,20005,Soybeans,1398.8200740767477,1674.549030986106
2004,20005,Soybeans,679.2347475084212,544.7328173087344
2005,20005,Soybeans,706.1351335483582,625.4339754285447
2006,20005,Soybeans,396.78069408907777,255.5536673794054
2007,20005,Soybeans,376.6054045591245,242.10347435943777
2008,20005,Soybeans,457.3065626789371,363.15521153915506
2009,20005,Soybeans,383.3305010691083,228.65328133946787
2010,20005,Soybeans,867.537449787983,880.987642807951
2011,20005,Soybeans,221.92818482948405,100.87644764976585
2012,20005,Soybeans,1264.3181438770603,1358.4694950168414
2013,20005,Soybeans,813.736677708107,786.8362916681699
2014,20005,Soybeans,221.92818482948496,114.32664066973393
2015,20005,Soybeans,1076.0154415974976,1102.9158276374355
2016,20005,Soybeans,618.7088789185609,578.3582998586548
2017,20005,Soybeans,564.9081068386863,517.8324312687955
2018,20005,Soybeans,538.0077207987488,511.10733475881216
2019,20005,Soybeans,67.25096509984314,20.175289529953716
2020,20005,Soybeans,880.9876428079515,880.9876428079519
2021,20005,Soybeans,941.5135113978104,941.5135113978108
1990,20013,Soybeans,0,0
1991,20013,Soybeans,0,0
1992,20013,Soybeans,0,0
1993,20013,Soybeans,0,0
1994,20013,Soybeans,0,0
1995,20013,Soybeans,0,0
1996,20013,Soybeans,0,0
1997,20013,Soybeans,0,0
1998,20013,Soybeans,0,0
1999,20013,Soybeans,0,0
2000,20013,Soybeans,0,0
2001,20013,Soybeans,0,0
2002,20013,Soybeans,0,0
2003,20013,Soybeans,0,0
2004,20013,Soybeans,0,0
2005,20013,Soybeans,0,0
2006,20013,Soybeans,0,0
2007,20013,Soybeans,0,0
2008,20013,Soybeans,0,0
2009,20013,Soybeans,0,0
2010,20013,Soybeans,0,0
2011,20013,Soybeans,0,0
2012,20013,Soybeans,0,0
2013,20013,Soybeans,0,0
2014,20013,Soybeans,0,0
2015,20013,Soybeans,0,0
2016,20013,Soybeans,0,0
2017,20013,Soybeans,0,0
2018,20013,Soybeans,0,0
2019,20013,Soybeans,0,0
2020,20013,Soybeans,0,0
2021,20013,Soybeans,0,0
1990,20045,Soybeans,1492.9714252165281,618.7088789185618
