FIPS,County,Crop,Domain,period,n_years,years_active,baseline_area_ha,baseline_withdrawal_m3,baseline_depth_m,basin_area_share,crop_area_share,crop_domain_county_share
20177,Shawnee,Wheat,Alluvial,historical_2006_2023,18,1,1.169092888888889,707.8815212147597,0.06054963877913358,5.363550753114728e-5,0.14689265536723167,0.14689265536723167
20197,Wabaunsee,Alfalfa,Alluvial,historical_2006_2023,18,6,8.903092,7954.587316806322,0.08934634525630335,4.084550188910446e-4,0.16631667366652667,0.17098445595854922
20197,Wabaunsee,Alfalfa,Non-alluvial,historical_2006_2023,18,1,1.4613661111111111,240.52895832176247,0.016459185449352088,6.704438441393409e-5,0.027299454010919783,1
20197,Wabaunsee,Corn,Alluvial,historical_2006_2023,18,18,1010.5796309444444,1454659.5216412048,0.1439430874221898,0.04636325472637124,0.11093601919128099,0.11955528662335675
20197,Wabaunsee,Corn,Non-alluvial,historical_2006_2023,18,7,19.559823333333334,31362.64625502024,0.1603421754918044,8.973632990788102e-4,0.0021471726425525196,0.02978279102408298
20197,Wabaunsee,Golf Course/Turf/Sod,Alluvial,historical_2006_2023,18,1,2.675424111111111,2642.3922031017555,0.09876535806520645,1.227427960808947e-4,0.009979872525997987,0.014629948364888123
20197,Wabaunsee,Multi-Crop,Alluvial,historical_2006_2023,18,18,308.13466516666665,349097.9738596309,0.11329396310240121,0.01413656631669498,0.054089092792659464,0.06290158246438536
20197,Wabaunsee,Multi-Crop,Non-alluvial,historical_2006_2023,18,18,101.83473538888889,127387.83677271806,0.12509271643535613,0.0046719621415833,0.017875783138473683,0.12759334638516034
20197,Wabaunsee,Other Crop,Alluvial,historical_2006_2023,18,8,35.499955222222226,48166.09522085482,0.135679312605735,0.0016286628152246453,0.07287580191073985,0.08313808082137687
20197,Wabaunsee,Other Crop,Non-alluvial,historical_2006_2023,18,11,11.353690555555556,4883.902809000574,0.04301599365512737,5.208832942928726e-4,0.02330733373332718,0.1888203402505141
20197,Wabaunsee,Soybeans,Alluvial,historical_2006_2023,18,18,845.4565016666667,1104585.0413268488,0.1306495413009843,0.03878775501363064,0.13861320446968148,0.1490664763943394
20197,Wabaunsee,Soybeans,Non-alluvial,historical_2006_2023,18,8,17.44646311111111,23549.224081844353,0.13497993221816165,8.004068046955824e-4,0.0028603602358322783,0.04078950826565744
20197,Wabaunsee,Unknown,Alluvial,historical_2006_2023,18,1,3.035145,2530.693570034954,0.08337965962202643,1.3924602916740158e-4,0.06247107820453494,0.07060669456066947
20209,Wyandotte,Corn,Alluvial,historical_2006_2023,18,4,11.713411444444445,33489.717157102146,0.2859091675891398,5.373865273793795e-4,0.001285835570999842,0.0013857396485115268
20209,Wyandotte,Multi-Crop,Alluvial,historical_2006_2023,18,11,9.892324444444444,2913.758207362205,0.029454737597072848,4.538389098789385e-4,0.0017364708203837995,0.0020193861066235864
20209,Wyandotte,Other Crop,Alluvial,historical_2006_2023,18,4,4.316650666666667,24346.875670125068,0.5640223763792732,1.9803879703808225e-4,0.008861402132274888,0.010109253652757668
20209,Wyandotte,Soybeans,Alluvial,historical_2006_2023,18,13,65.5141668888889,90181.22767847277,0.13765149121321937,0.003005651325880061,0.010741095009298015,0.011551115867919294
20005,Atchison,Corn,Non-alluvial,recent_2019_2023,5,2,23.593193799999998,35889.38754528206,0.1521175464819098,0.0010244965381506343,0.002449435747477039,0.037436588968085785
20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,recent_2019_2023,5,0,0,0,NA,0,0,0
20005,Atchison,Soybeans,Non-alluvial,recent_2019_2023,5,4,67.784905,69432.69263554877,0.10243090646147364,0.002943450602748392,0.010233319688907082,0.14805975426500487
20045,Douglas,Corn,Alluvial,recent_2019_2023,5,5,533.376148,619560.6582543836,0.11615829852488707,0.023161002354760478,0.05537489391380338,0.05925166673410027
20045,Douglas,Golf Course/Turf/Sod,Alluvial,recent_2019_2023,5,5,177.4143424,376150.2863601101,0.2120179695010442,0.00770393280146206,0.42121445042275174,0.5222778174886824
20045,Douglas,Golf Course/Turf/Sod,Non-alluvial,recent_2019_2023,5,5,1.214058,712.9525021024549,0.058724748084725345,5.271851825818016e-5,0.002882398155265181,0.01489572989076465
20045,Douglas,Multi-Crop,Alluvial,recent_2019_2023,5,5,425.4059232,421046.55828316405,0.09897524583483845,0.018472568797666327,0.07179445150186453,0.08511947658647578
20045,Douglas,Multi-Crop,Non-alluvial,recent_2019_2023,5,0,0,0,NA,0,0,0
20045,Douglas,Other Crop,Alluvial,recent_2019_2023,5,5,2.7518648,759.82481192926,0.02761126970806342,1.19495308051875e-4,0.007219450047775773,0.008892376095200731
20045,Douglas,Other Crop,Non-alluvial,recent_2019_2023,5,0,0,0,NA,0,0,0
20045,Douglas,Sorghum,Alluvial,recent_2019_2023,5,0,0,0,NA,0,0,0
20045,Douglas,Soybeans,Alluvial,recent_2019_2023,5,5,312.6604036,335793.227599231,0.10739870598671199,0.013576775735423329,0.04720156890537081,0.050706185025727185
