Year,FIPS,County,Crop,Domain,groundwater_irrigated_area_ha,groundwater_withdrawal_m3,n_pdiv
2010,20197,Wabaunsee,Corn,Alluvial,883.2271949999999,897580.0635465648,24
2010,20197,Wabaunsee,Corn,Non-alluvial,27.113962,16898.701174400747,1
2010,20197,Wabaunsee,Multi-Crop,Alluvial,263.855272,240504.28868501156,5
2010,20197,Wabaunsee,Multi-Crop,Non-alluvial,112.907394,49906.675147171845,2
2010,20197,Wabaunsee,Other Crop,Non-alluvial,16.18744,61.674091877375,1
2010,20197,Wabaunsee,Soybeans,Alluvial,568.58383,639609.6720418807,15
2010,20209,Wyandotte,Multi-Crop,Alluvial,16.18744,4773.574711308825,1
2010,20209,Wyandotte,Other Crop,Alluvial,7.284348,20451.128866537547,1
2010,20209,Wyandotte,Soybeans,Alluvial,93.887152,82643.2831156825,3
2011,20005,Atchison,Corn,Non-alluvial,55.846668,21240.55724256795,3
2011,20005,Atchison,Golf Course/Turf/Sod,Non-alluvial,1.214058,1467.8433866815249,2
2011,20045,Douglas,Corn,Alluvial,679.063108,1158177.771365225,16
2011,20045,Douglas,Golf Course/Turf/Sod,Alluvial,7.284348,15097.8176915814,1
2011,20045,Douglas,Golf Course/Turf/Sod,Non-alluvial,0.809372,4711.90061943145,1
