Year,Crop,basin_water_m3,basin_irrigated_area_ha,alluvial_water_m3,alluvial_irrigated_area_ha,alluvial_water_fraction,alluvial_area_fraction,basin_depth_m,alluvial_depth_m
2004,Other Crop,782915.5919281491,734.0997549507999,733341.9568771151,617.5502899971999,0.9366807411141921,0.8412348401323042,0.10664975524758495,0.11875015990688631
2004,Sorghum,14530.416046309549,12.140569266,14530.416046309549,12.140569266,1,1,0.11968480001182795,0.11968480001182795
2004,Soybeans,4300990.814889251,5452.7343430027995,3442894.5049625817,4619.486605712999,0.8004886904300992,0.8471871753005789,0.07887768859321895,0.07452980815454024
2004,Unknown,137204057.92337832,42.491992431,111051553.97696546,36.421707798,0.809389719646501,0.8571428571428571,322.89391500333886,304.90485123013246
2004,Wheat,12902.220020746849,36.0170221558,6352.431463369625,28.327994954,0.4923518164435947,0.7865168539325843,0.035822561801293,0.022424571430787556
2005,Alfalfa,122114.70191720247,93.8870689904,119351.7026010961,84.983984862,0.9773737373737376,0.9051724137931035,0.13006551725423315,0.14044022858530772
2005,Corn,12195040.213644115,7966.236866707,10285227.949750949,6480.2311885486,0.8433943447143027,0.8134620269240538,0.1530840774344835,0.15871699096054268
2005,Golf Course/Turf/Sod,2563569.97261172,867.2413312345999,337875.34494101116,98.7432966968,0.1317987605373571,0.11385907606159591,0.29560053012720655,0.34217547544365184
2005,Multi-Crop,10560232.72543216,7852.5202012488,8880933.54733987,6572.094829328,0.8409789611882282,0.836940836940837,0.13448208288280172,0.1351309404074431
2005,Other Crop,1323908.3910581071,855.9101332529999,1055206.7075667598,634.5470869696,0.7970390660666536,0.741371158392435,0.15467843405783943,0.1662928928735769
2005,Soybeans,8536964.802121373,6323.8201878383,7105990.187564143,5233.1923821093,0.8323789956119249,0.8275365564905769,0.13499695672149722,0.13578690918868896
2005,Unknown,134495196.12512186,0,107472594.09050302,0,0.7990812845874472,NA,Inf,Inf
2006,Alfalfa,93830.96338223832,91.4589551372,92104.0888096718,86.60272743079999,0.9815958985145259,0.9469026548672566,0.10259352213403271,0.10635241122546363
