Year,FIPS,County,Crop,Domain,GWuse_m3,SWuse_m3,n_pdiv,n_missing_irrArea,water_with_area_m3,irrArea_ha,waterUse_m3,area_data_water_fraction,applied_depth_m
2006,20197,Wabaunsee,Corn,Alluvial,1833916.126428872,474890.50745578745,22,0,2308806.6338846595,1148.296525,2308806.6338846595,1,0.20106362630372496
2006,20197,Wabaunsee,Corn,Non-alluvial,31034.4030326951,674147.1634932107,10,0,705181.5665259057,409.137546,705181.5665259057,1,0.1723580672124151
2006,20197,Wabaunsee,Golf Course/Turf/Sod,Non-alluvial,0,15948.920159489175,1,0,15948.920159489175,7.284348,15948.920159489175,1,0.21894780644045528
2006,20197,Wabaunsee,Multi-Crop,Alluvial,730208.9130097445,163535.02202204755,13,0,893743.935031792,542.6839259999999,893743.935031792,1,0.16468959042501513
2006,20197,Wabaunsee,Multi-Crop,Non-alluvial,208113.0556310142,57961.31154635702,2,0,266074.3671773712,148.92444799999998,266074.3671773712,1,0.17866399422704005
2006,20197,Wabaunsee,Other Crop,Non-alluvial,1011.4551067889499,63203.6093559339,3,0,64215.064462722854,59.893527999999996,64215.064462722854,1,0.10721536467633508
2006,20197,Wabaunsee,Soybeans,Alluvial,869925.4007487498,19081.964026859823,16,0,889007.3647756097,537.423008,889007.3647756097,1,0.1654204140020015
2006,20197,Wabaunsee,Soybeans,Non-alluvial,61661.75705899952,130588.72214115382,4,0,192250.47920015335,102.385558,192250.47920015335,1,0.18777109091904673
2006,20209,Wyandotte,Golf Course/Turf/Sod,Non-alluvial,0,211603.80923127363,1,0,211603.80923127363,36.42174,211603.80923127363,1,0.5809821530527471
2006,20209,Wyandotte,Multi-Crop,Alluvial,4773.574711308825,84296.14877799615,2,0,89069.72348930498,24.685845999999998,89069.72348930498,1,0.3608129269270536
2006,20209,Wyandotte,Soybeans,Alluvial,390915.0639555537,0,5,0,390915.0639555537,155.399424,390915.0639555537,1,0.25155502761422954
2007,20005,Atchison,Corn,Non-alluvial,78190.41368213602,95360.48086079722,5,0,173550.89454293324,104.81367399999999,173550.89454293324,1,0.16558039416014866
