Year,Crop_group,irrigated_area_ha,Denominator,denominator_ha,percent_irrigated
2022,Wheat,21.0436533944,Total basin area,2186962.56,9.622319914978333e-4
2022,Wheat,21.0436533944,Basin cultivated area,868212,0.002423792045537265
2022,Wheat,21.0436533944,Total alluvial area,86777.1,0.024250238132410507
2022,Wheat,21.0436533944,Alluvial cultivated area,50219.82,0.04190308406999467
2023,Corn,9592.2637770666,Total basin area,2190029.76,0.4379969602361295
2023,Corn,9592.2637770666,Basin cultivated area,854510.58,1.1225447644038067
2023,Corn,9592.2637770666,Total alluvial area,86777.1,11.053911431779351
2023,Corn,9592.2637770666,Alluvial cultivated area,49758.39,19.277681165059
2023,Other/Unclassified,6086.472058687999,Total basin area,2190029.76,0.2779173219403192
2023,Other/Unclassified,6086.472058687999,Basin cultivated area,854510.58,0.7122757987019891
2023,Other/Unclassified,6086.472058687999,Total alluvial area,86777.1,7.013915029066423
2023,Other/Unclassified,6086.472058687999,Alluvial cultivated area,49758.39,12.232051838268882
2023,Sorghum,4.8562277063999995,Total basin area,2190029.76,2.217425441013185e-4
2023,Sorghum,4.8562277063999995,Basin cultivated area,854510.58,5.683051585388211e-4
2023,Sorghum,4.8562277063999995,Total alluvial area,86777.1,0.00559620879978704
2023,Sorghum,4.8562277063999995,Alluvial cultivated area,49758.39,0.009759615828406022
2023,Soybeans,6992.5632115738,Total basin area,2190029.76,0.3192907849605569
2023,Soybeans,6992.5632115738,Basin cultivated area,854510.58,0.8183120695326909
2023,Soybeans,6992.5632115738,Total alluvial area,86777.1,8.058074320960023
2023,Soybeans,6992.5632115738,Alluvial cultivated area,49758.39,14.05303349158564
